Date Inserted	Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld (USD)	Earnings (USD)	Recoup (USD)
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	25	100	Song	DE	0	0.23621739	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	35	100	Song	FR	0	0.23960153	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	10	100	Song	IT	0	0.35304015	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	4	100	Song	PT	0	0.01194017	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	129	100	Song	GB	0	1.66756846	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	40	100	Song	MX	0	0.12600686	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	1	100	Song	PE	0	0.00198731	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	1	100	Song	PH	0	0.00177958	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	5	100	Song	PL	0	0.01961398	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	1	100	Song	TH	0	0.00380712	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	7	100	Song	TW	0	0.03255698	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	13	100	Song	SV	0	0.02691215	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	785	100	Song	US	0	5.57652206	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Pixilate (Gardevoir Dub)	QZFZ42608028	199934859904	9	100	Song	ZA	0	0.01687305	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	80	100	Song	CH	0	0.48549859	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	20	100	Song	CL	0	0.03555412	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	2	100	Song	CO	0	0.00279655	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	1	100	Song	AT	0	0.01302830	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	49	100	Song	DE	0	0.44519378	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	41	100	Song	ES	0	0.17538616	0.00000000
2026-02-26	2026-02-26	2026-01	Apple Music	Kirbai	Power Whip (Tsareena Step)	QZFZ42608027	199934859904	27	100	Song	FR	0	0.14619778	0.00000000
